City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Questa,4860.23,0,9568.93,0,14429.17,0,July,July 2022,2022,2022-11-04-145018,
Bernalillo,184128.04,0,302760.61,0,486888.65,0,July,July 2022,2022,2022-11-04-145018,
Raton,6445.86,0,81971.81,0,88417.67,0,July,July 2022,2022,2022-11-04-145018,
Cloudcroft,12337.49,0,93573.86,0,105911.35,0,July,July 2022,2022,2022-11-04-145018,
Alto,12123.53,0,65802.24,0,77925.77,0,July,July 2022,2022,2022-11-04-145018,
Santa Fe,1622595.04,0,1873677.71,0,3496272.75,0,July,July 2022,2022,2022-11-04-145018,
Silver City,211931.65,0,168078.16,0,380009.81,0,July,July 2022,2022,2022-11-04-145018,
Moriarty,10070.97,0,27639.95,0,37710.92,0,July,July 2022,2022,2022-11-04-145018,
Eagle Nest,7562.22,0,45792.2,0,53354.42,0,July,July 2022,2022,2022-11-04-145018,
Farmington,192284.23,4214,608371.07,15643,800655.3,19857,August,August 2022,2022,2022-11-04-145018,
Portales,200720.81,5172,136527.63,3597,337248.44,8769,August,August 2022,2022,2022-11-04-145018,Texas
Bernalillo,177529.14,3967,317139.01,8899,494668.15,12866,August,August 2022,2022,2022-11-04-145018,
Roswell,514529.01,10768,439306.28,9894,953835.29,20662,August,August 2022,2022,2022-11-04-145018,Texas
Los Ranchos,3602.59,106,14227.07,360,17829.66,466,August,August 2022,2022,2022-11-04-145018,
Tatum,16092.13,202,54605.97,680,70698.1,882,August,August 2022,2022,2022-11-04-145018,
Mora,11148.5,282,19243.5,649,30392.0,931,August,August 2022,2022,2022-11-04-145018,
Rio Rancho,805783.87,13926,749385.56,16483,1555169.43,30409,August,August 2022,2022,2022-11-04-145018,
Albuquerque,6638657.99,129659,7990078.34,199684,14628736.33,329343,August,August 2022,2022,2022-11-04-145018,
Madrid,10827.54,226,43530.12,956,54357.66,1182,August,August 2022,2022,2022-11-04-145018,
Lovington,3224.64,89,5375.24,141,8599.88,230,August,August 2022,2022,2022-11-04-145018,Texas
Estancia,5517.41,151,18165.31,550,23682.72,701,August,August 2022,2022,2022-11-04-145018,
Las Cruces,1486373.89,31025,1822393.37,41688,3308767.27,72713,August,August 2022,2022,2022-11-04-145018,Texas
Moriarty,16130.49,393,54409.63,1408,70540.12,1801,August,August 2022,2022,2022-11-04-145018,
Logan,2941.79,79,15701.65,324,18643.44,403,August,August 2022,2022,2022-11-04-145018,Texas
Carlsbad,370620.92,7165,794310.71,14337,1164931.63,21502,August,August 2022,2022,2022-11-04-145018,Texas
Las Vegas,206085.2,4869,220977.82,5923,427063.02,10792,August,August 2022,2022,2022-11-04-145018,
Placitas,33107.77,576,19989.4,518,53097.17,1094,August,August 2022,2022,2022-11-04-145018,
Fort Sumner,11609.48,280,26468.25,651,38077.73,931,August,August 2022,2022,2022-11-04-145018,
Clovis,436190.63,10068,674106.32,11861,1110296.95,21929,August,August 2022,2022,2022-11-04-145018,Texas
Gallup,122636.5,2848,464439.87,14529,587076.37,17377,August,August 2022,2022,2022-11-04-145018,
Ruidoso,336641.68,6343,741639.67,13390,1078281.35,19733,August,August 2022,2022,2022-11-04-145018,
Chama,1859.22,44,15176.42,370,17035.64,414,August,August 2022,2022,2022-11-04-145018,
Aztec,10310.08,210,51318.73,1198,61628.81,1408,August,August 2022,2022,2022-11-04-145018,
Tucumcari,63823.65,1572,292927.47,4627,356751.12,6199,August,August 2022,2022,2022-11-04-145018,
Chaparral,43911.01,928,262622.37,5745,306533.38,6673,August,August 2022,2022,2022-11-04-145018,Texas
Socorro,101909.12,2129,108160.33,2837,210069.45,4966,August,August 2022,2022,2022-11-04-145018,
Raton,8773.21,162,78709.28,1388,87482.49,1550,August,August 2022,2022,2022-11-04-145018,
Grants,159046.8,3424,183365.25,4545,342412.05,7969,August,August 2022,2022,2022-11-04-145018,
Clayton,16134.48,388,154018.51,2390,170152.99,2778,August,August 2022,2022,2022-11-04-145018,Texas
Anthony,60111.42,1231,442017.01,9275,502128.43,10506,August,August 2022,2022,2022-11-04-145018,Texas
Sunland Park,178846.03,3384,1348342.03,28464,1527188.06,31848,August,August 2022,2022,2022-11-04-145018,Texas
Alamogordo,543689.69,11649,436880.15,11168,980569.84,22817,August,August 2022,2022,2022-11-04-145018,
Belen,93976.49,2012,144447.2,3625,238423.69,5637,August,August 2022,2022,2022-11-04-145018,
Eagle Nest,6332.36,119,43943.15,809,50275.51,928,August,August 2022,2022,2022-11-04-145018,
Peralta,5525.3,180,17282.88,572,22808.18,752,August,August 2022,2022,2022-11-04-145018,
Los Lunas,347386.9,7296,391401.89,9955,738788.79,17251,August,August 2022,2022,2022-11-04-145018,
Corrales,45425.4,635,46370.0,849,91795.4,1484,August,August 2022,2022,2022-11-04-145018,
Los Alamos,25105.44,369,47937.4,995,73042.84,1364,August,August 2022,2022,2022-11-04-145018,
Santa Fe,1612245.91,29803,1927480.47,43569,3539726.38,73372,August,August 2022,2022,2022-11-04-145018,
Espanola,244149.8,5574,304511.92,8762,548661.72,14336,August,August 2022,2022,2022-11-04-145018,
Deming,100982.61,2315,151863.7,4564,252846.31,6879,August,August 2022,2022,2022-11-04-145018,
Texico,6320.0,123,71685.99,1003,78005.99,1126,August,August 2022,2022,2022-11-04-145018,Texas
Questa,4957.95,109,9207.84,219,14165.78,328,August,August 2022,2022,2022-11-04-145018,
Alto,11963.08,247,56392.89,1182,68355.97,1429,August,August 2022,2022,2022-11-04-145018,
Cloudcroft,14982.29,271,93957.52,1599,108939.81,1870,August,August 2022,2022,2022-11-04-145018,
Silver City,225881.28,5196,195509.51,5317,421390.79,10513,August,August 2022,2022,2022-11-04-145018,
Tularosa,34617.01,879,30482.33,967,65099.34,1846,August,August 2022,2022,2022-11-04-145018,
Edgewood,104494.82,2027,162347.83,4062,266842.65,6089,August,August 2022,2022,2022-11-04-145018,
Truth Or Consequences,207593.56,4944,163076.55,4063,370670.11,9007,August,August 2022,2022,2022-11-04-145018,
Taos,175879.67,3118,410625.33,8476,586505.0,11594,August,August 2022,2022,2022-11-04-145018,
Hobbs,363407.65,6265,1295118.07,16502,1658525.72,22767,August,August 2022,2022,2022-11-04-145018,Texas
Cedar Crest,38053.25,793,51766.69,1310,89819.94,2103,August,August 2022,2022,2022-11-04-145018,
Las Cruces,1348149.64,28556,1667544.88,40275,3015694.52,68831,September,September 2022,2022,2022-11-04-145018,Texas
Bernalillo,172307.38,3658,319113.29,8729,491420.67,12387,September,September 2022,2022,2022-11-04-145018,
Las Vegas,201906.11,4852,241076.99,6595,442983.1,11447,September,September 2022,2022,2022-11-04-145018,
White Rock,4768.38,119,13370.72,418,18139.1,537,September,September 2022,2022,2022-11-04-145018,
Chama,1972.1,37,23145.7,503,25117.8,540,September,September 2022,2022,2022-11-04-145018,
Hobbs,338013.22,5940,1390524.42,17439,1728537.64,23379,September,September 2022,2022,2022-11-04-145018,Texas
Alto,11489.43,233,50009.14,1099,61498.57,1332,September,September 2022,2022,2022-11-04-145018,
Tatum,20326.53,237,73718.17,779,94044.7,1016,September,September 2022,2022,2022-11-04-145018,
Alamogordo,488603.95,10274,431101.83,10586,919705.78,20860,September,September 2022,2022,2022-11-04-145018,
Socorro,82709.35,1796,97020.96,2772,179730.31,4568,September,September 2022,2022,2022-11-04-145018,
Grants,141069.38,3062,162430.76,4263,303500.14,7325,September,September 2022,2022,2022-11-04-145018,
Edgewood,95321.1,1908,153681.47,3945,249002.57,5853,September,September 2022,2022,2022-11-04-145018,
Kirtland,404.2,17,5587.16,222,5991.36,239,September,September 2022,2022,2022-11-04-145018,
Moriarty,23704.98,500,61650.72,1637,85355.7,2137,September,September 2022,2022,2022-11-04-145018,
Tularosa,31628.46,858,29108.65,925,60737.11,1783,September,September 2022,2022,2022-11-04-145018,
Cedar Crest,35572.5,723,48975.25,1294,84547.75,2017,September,September 2022,2022,2022-11-04-145018,
Corrales,35320.8,542,41747.0,849,77067.8,1391,September,September 2022,2022,2022-11-04-145018,
Clovis,420853.03,9739,703361.78,11992,1124214.81,21731,September,September 2022,2022,2022-11-04-145018,Texas
Aztec,7757.81,156,63332.24,1476,71090.05,1632,September,September 2022,2022,2022-11-04-145018,
Los Ranchos,3316.71,91,16031.8,377,19348.51,468,September,September 2022,2022,2022-11-04-145018,
Albuquerque,6233615.75,121756,7895816.88,200700,14129432.63,322456,September,September 2022,2022,2022-11-04-145018,
Ruidoso,332519.21,6184,632208.48,12365,964727.69,18549,September,September 2022,2022,2022-11-04-145018,
Cuba,0.0,0,45.99,1,45.99,1,September,September 2022,2022,2022-11-04-145018,
Tucumcari,63283.88,1506,305929.3,4627,369213.18,6133,September,September 2022,2022,2022-11-04-145018,
Madrid,9443.39,210,45851.47,1055,55294.86,1265,September,September 2022,2022,2022-11-04-145018,
